0.415731,-1.000000,0.049241,0.997735,-0.999953
0.998436,0.198491,-0.756739,0.691384,-0.553551
0.999771,-0.994639,-0.101911,-0.411920,-0.912119
0.999221,-0.041352,-0.762445,-0.975402,-0.260329
0.999793,-0.998784,-0.993788,-0.995096,-0.630731
0.999833,-0.999006,-0.957895,-0.998092,-0.065495
0.999942,-0.999871,-0.985743,-0.997226,-0.538559
0.999926,-0.999963,-0.963893,-0.995908,-0.748211
0.999799,-0.999967,-0.982372,-0.992834,-0.885457
0.999870,-0.999937,-0.996961,-0.995667,-0.906565
0.999117,-0.999999,-0.992246,-0.988253,-0.990342
0.994899,-0.999994,-0.971622,-0.995349,-0.993381
0.983891,-0.999998,-0.987703,-0.999174,-0.999069
0.905281,-0.999990,-0.973047,-0.991890,-0.989851
0.277609,-0.942622,-0.771782,-0.997699,-0.958156
-0.863016,-0.499529,-0.771223,-0.999530,-0.922770
-0.383212,0.857637,-0.446316,-0.999940,0.298782
0.991663,0.802740,0.807598,-0.999939,-0.850206
0.984195,0.999933,0.932824,-0.985264,-0.548494
0.907651,0.999949,0.775750,-0.985258,-0.142574
0.983908,0.999084,0.730430,-0.994089,-0.459622
0.991062,0.999822,0.902972,-0.937590,-0.675616
0.997415,0.999995,0.856620,-0.963173,-0.771860
0.992682,0.999950,0.389759,-0.711503,-0.745419
0.998086,0.999799,0.524468,-0.837765,-0.948465
0.996781,1.000000,0.595657,-0.849107,-0.521448
0.998695,0.999999,0.413850,-0.953547,-0.909899
0.998675,0.999997,0.222886,-0.907224,-0.889813
0.998917,1.000000,0.210238,-0.831418,-0.778155
0.999427,0.999999,0.170370,-0.861431,-0.905073
0.999716,0.999999,-0.341293,-0.687661,-0.688650
0.999776,1.000000,-0.195043,-0.708350,-0.918262
0.999721,1.000000,0.577006,-0.754173,-0.853985
0.999794,1.000000,0.712994,-0.790147,-0.899514
0.999869,1.000000,0.452133,-0.742949,-0.904310
0.999884,1.000000,-0.646575,-0.913384,-0.733201
0.999565,1.000000,-0.452794,-0.850261,-0.825549
0.999808,1.000000,-0.205871,-0.910268,-0.854884
0.999777,1.000000,0.605377,-0.944163,-0.846392
0.999863,1.000000,0.611846,-0.856620,-0.816280
0.999913,1.000000,0.104865,-0.968875,-0.878398
0.999731,1.000000,-0.021743,-0.954926,-0.595960
0.999907,1.000000,-0.300398,-0.940483,-0.346006
0.999881,1.000000,-0.547602,-0.987434,-0.772609
0.999723,1.000000,-0.887398,-0.969757,-0.422118
0.999574,1.000000,-0.529494,-0.971296,-0.090974
0.999247,1.000000,-0.713248,-0.924211,0.300676
0.998803,1.000000,-0.304233,-0.954930,-0.014522
0.999646,1.000000,0.250015,-0.972430,0.108489
0.999482,1.000000,0.682082,-0.922327,-0.308219
0.999421,1.000000,0.570732,-0.806902,-0.349607
0.998931,1.000000,0.641309,-0.894874,-0.497154
0.998502,1.000000,0.859772,-0.911421,-0.487010
0.999737,1.000000,0.865680,-0.972309,-0.187964
0.999901,0.999999,0.943203,-0.946186,0.195095
0.999925,0.999998,0.946562,-0.959827,0.548065
